Date,avg_interest_rate,stock_price,stock_volume,Percent change of price,Percent change of interest rate,Percent change of Volume
200101,6.096,57.33,180358700,0,0,0
200102,5.755,55.85,150775700,-1.97%,-1.94%,-1.84%
200103,6.508,51.19,205630000,-1.92%,+2.13%,+2.36%
200104,5.076,49.54,175067700,-1.97%,-1.78%,-1.85%
200105,4.56,49.9,135245300,+2.01%,-1.9%,-1.77%
200106,4.216,49.06,131864500,-1.98%,-1.92%,-1.98%
200107,3.994,45.56,157719500,-1.93%,-1.95%,+2.2%
200108,3.711,43.82,149322200,-1.96%,-1.93%,-1.95%
200109,3.482,40.28,167154700,-1.92%,-1.94%,+2.12%
200110,3.184,38.08,204257600,-1.95%,-1.91%,+2.22%
200111,2.669,40.3,154547500,+2.06%,-1.84%,-1.76%
200112,2.397,40.95,247102800,+2.02%,-1.9%,+2.6%
200201,2.145,39.68,203658000,-1.97%,-1.89%,-1.82%
200202,1.932,34.05,243834500,-1.86%,-1.9%,+2.2%
200203,1.876,36.49,372556800,+2.07%,-1.97%,+2.53%
200204,1.861,37.95,308858000,+2.04%,-1.99%,-1.83%
200205,1.852,38.75,247681100,+2.02%,-2.0%,-1.8%
200206,1.843,36.25,350909700,-1.94%,-2.0%,+2.42%
200207,1.832,33.73,177232000,-1.93%,-1.99%,-1.51%
200208,1.789,27.4,150664200,-1.81%,-1.98%,-1.85%
200209,5.997,25.75,189633900,-1.94%,+4.35%,+2.26%
200210,1.696,21.61,211048800,-1.84%,-1.28%,+2.11%
200211,6.15,25.7,285216300,+2.19%,+4.63%,+2.35%
200212,7.936,26.14,225098800,+2.02%,+2.29%,-1.79%
200301,7.936,28.29,145825100,+2.08%,2.0%,-1.65%
200302,1.299,23.87,119712400,-1.84%,-1.16%,-1.82%
200303,1.249,24.9,201848900,+2.04%,-1.96%,+2.69%
200304,1.208,29.69,173570000,+2.19%,-1.97%,-1.86%
200305,6.091,33.07,183969800,+2.11%,+6.04%,+2.06%
200306,1.107,36.52,198713700,+2.1%,-1.18%,+2.08%
200307,1.042,38.26,210944900,+2.05%,-1.94%,+2.06%
200308,1.019,35.43,204510000,-1.93%,-1.98%,-1.97%
200309,1.008,35.87,241402800,+2.01%,-1.99%,+2.18%
200310,0.993,36.99,224183400,+2.03%,-1.99%,-1.93%
200311,0.988,36.76,168216300,-1.99%,-1.99%,-1.75%
200312,0.987,36.84,243213700,+2.0%,-2.0%,+2.45%
200401,3.763,40.53,209201600,+2.1%,+4.81%,-1.86%
200402,0.98,41.2,222462100,+2.02%,-1.26%,+2.06%
200403,0.984,43.84,216650400,+2.06%,+2.0%,-1.97%
200404,0.992,42.57,185980900,-1.97%,+2.01%,-1.86%
200405,1.025,38.75,178960500,-1.91%,+2.03%,-1.96%
200406,1.122,38.85,225139100,+2.0%,+2.09%,+2.26%
200407,1.273,38.64,174976400,-1.99%,+2.13%,-1.78%
200408,1.409,39.8,200758000,+2.03%,+2.11%,+2.15%
200409,1.579,40.25,205652600,+2.01%,+2.12%,+2.02%
200410,1.707,40.45,213536600,+2.0%,+2.08%,+2.04%
200411,1.881,39.91,161986400,-1.99%,+2.1%,-1.76%
200412,2.05,39.48,292400100,-1.99%,+2.09%,+2.81%
200501,2.201,39.69,200859300,+2.01%,+2.07%,-1.69%
200502,2.373,38.07,237640300,-1.96%,+2.08%,+2.18%
200503,2.604,37.79,269054600,-1.99%,+2.1%,+2.13%
200504,2.745,35.88,211341400,-1.95%,+2.05%,-1.79%
200505,2.86,36.3,193472900,+2.01%,+2.04%,-1.92%
200506,2.989,36.5,187460100,+2.01%,+2.05%,-1.97%
200507,3.13,35.95,197370200,-1.98%,+2.05%,+2.05%
200508,3.302,35.65,199696300,-1.99%,+2.05%,+2.01%
200509,3.449,35.0,274126100,-1.98%,+2.04%,+2.37%
200510,3.61,36.8,266804300,+2.05%,+2.05%,-1.97%
200511,3.789,39.18,203306200,+2.06%,+2.05%,-1.76%
200512,3.946,40.56,231082900,+2.04%,+2.04%,+2.14%
200601,4.116,40.87,204996600,+2.01%,+2.04%,-1.89%
200602,4.277,41.95,184245600,+2.03%,+2.04%,-1.9%
200603,4.485,42.43,247025600,+2.01%,+2.05%,+2.34%
200604,4.585,45.9,182171700,+2.08%,+2.02%,-1.74%
200605,4.687,46.8,198516600,+2.02%,+2.02%,+2.09%
200606,4.821,44.2,239719400,-1.94%,+2.03%,+2.21%
200607,4.948,45.71,271716100,+2.03%,+2.03%,+2.13%
200608,5.071,46.1,262343700,+2.01%,+2.02%,-1.97%
200609,5.069,47.49,208177900,+2.03%,-2.0%,-1.79%
200610,5.09,48.57,254538100,+2.02%,+2.0%,+2.22%
200611,5.126,48.05,189953500,-1.99%,+2.01%,-1.75%
200612,5.085,49.0,262471900,+2.02%,-1.99%,+2.38%
200701,4.295,51.16,462894600,+2.04%,-1.84%,+2.76%
200702,5.109,51.95,632312100,+2.02%,+2.19%,+2.37%
200703,5.135,49.65,427511900,-1.96%,+2.01%,-1.68%
200704,5.106,53.06,347252900,+2.07%,-1.99%,-1.81%
200705,5.043,53.25,670058600,+2.0%,-1.99%,+2.93%
200706,4.983,52.08,517826100,-1.98%,-1.99%,-1.77%
200707,4.988,50.48,323308000,-1.97%,+2.0%,-1.62%
200708,4.859,48.29,242848700,-1.96%,-1.97%,-1.75%
200709,4.659,48.06,301906400,-2.0%,-1.96%,+2.24%
200710,4.512,47.88,354058700,-2.0%,-1.97%,+2.17%
200711,4.21,46.32,217186600,-1.97%,-1.93%,-1.61%
200712,3.917,48.02,255322500,+2.04%,-1.93%,+2.18%
200801,3.528,49.29,1154247300,+2.03%,-1.9%,+5.52%
200802,3.038,48.7,1436151000,-1.99%,-1.86%,+2.24%
200803,2.553,48.16,1587863300,-1.99%,-1.84%,+2.11%
200804,2.262,48.64,1386597500,+2.01%,-1.89%,-1.87%
200805,1.994,49.95,750472600,+2.03%,-1.88%,-1.54%
200806,1.94,42.77,1268229800,-1.86%,-1.97%,+2.69%
200807,1.877,43.0,939120600,+2.01%,-1.97%,-1.74%
200808,1.887,42.85,563598400,-2.0%,+2.01%,-1.6%
200809,1.607,49.0,707297700,+2.14%,-1.85%,+2.25%
200810,1.436,50.63,1076808500,+2.03%,-1.89%,+2.52%
200811,3.961,42.5,630381200,-1.84%,+3.76%,-1.59%
200812,1.082,37.7,894659000,-1.89%,-1.27%,+2.42%
200901,0.806,31.64,755880700,-1.84%,-1.74%,-1.84%
200902,3.649,27.97,644655200,-1.88%,+5.53%,-1.85%
200903,0.642,29.6,857048300,+2.06%,-1.18%,+2.33%
200904,0.573,35.21,710240100,+2.19%,-1.89%,-1.83%
200905,0.515,38.94,851531100,+2.11%,-1.9%,+2.2%
200906,0.458,37.73,1083420300,-1.97%,-1.89%,+2.27%
200907,0.4,39.47,1418979800,+2.05%,-1.87%,+2.31%
200908,0.372,44.24,1541580000,+2.12%,-1.93%,+2.09%
200909,0.347,46.5,2113301200,+2.05%,-1.93%,+2.37%
200910,3.021,47.47,2805950700,+2.02%,+9.71%,+2.33%
200911,0.268,44.99,1715266600,-1.95%,-1.09%,-1.61%
200912,0.237,43.09,1571005200,-1.96%,-1.88%,-1.92%
201001,0.238,45.19,665999200,+2.05%,+2.0%,-1.42%
201002,0.227,42.305,760406300,-1.94%,-1.95%,+2.14%
201003,2.782,46.05,949249000,+2.09%,+13.26%,+2.25%
201004,0.234,48.2,717143800,+2.05%,-1.08%,-1.76%
201005,0.241,43.73,723429400,-1.91%,+2.03%,+2.01%
201006,0.221,39.96,832405700,-1.91%,-1.92%,+2.15%
201007,0.221,41.24,975653600,+2.03%,2.0%,+2.17%
201008,2.59,41.7,1137332300,+2.01%,+12.72%,+2.17%
201009,0.208,41.5,947688500,-2.0%,-1.08%,-1.83%
201010,0.204,40.72,755522200,-1.98%,-1.98%,-1.8%
201011,0.197,41.34,876257200,+2.02%,-1.97%,+2.16%
201012,2.473,43.1201,1029066400,+2.04%,+13.55%,+2.17%
201101,0.197,45.94,818108000,+2.07%,-1.08%,-1.8%
201102,0.195,48.36,836433900,+2.05%,-1.99%,+2.02%
201103,0.179,47.1,1065099100,-1.97%,-1.92%,+2.27%
201104,0.164,47.8,1031994300,+2.01%,-1.92%,-1.97%
201105,0.149,46.07,1190346900,-1.96%,-1.91%,+2.15%
201106,0.129,42.99,666695700,-1.93%,-1.87%,-1.56%
201107,0.12,42.55,807200100,-1.99%,-1.93%,+2.21%
201108,0.111,41.37,586460300,-1.97%,-1.92%,-1.73%
201109,0.093,37.82,577996200,-1.91%,-1.84%,-1.99%
201110,5.732,37.54,684643600,-1.99%,+62.63%,+2.18%
201111,0.076,35.18,597586300,-1.94%,-1.01%,-1.87%
201112,0.069,34.19,827482200,-1.97%,-1.91%,+2.38%
201201,0.066,38.1,461095700,+2.11%,-1.96%,-1.56%
201202,0.078,39.935,467570200,+2.05%,+2.18%,+2.01%
201203,0.093,46.49,517965600,+2.16%,+2.19%,+2.11%
201204,6.45,46.35,485796100,-2.0%,+70.35%,-1.94%
201205,0.11,44.24,468135900,-1.95%,-1.02%,-1.96%
201206,0.115,37.03,814935400,-1.84%,+2.05%,+2.74%
201207,2.621,37.2,1033963700,+2.0%,+23.79%,+2.27%
201208,2.587,38.86,1294302900,+2.04%,-1.99%,+2.25%
201209,0.131,42.09,617224800,+2.08%,-1.05%,-1.48%
201210,3.651,43.54,820652500,+2.03%,+28.87%,+2.33%
201211,2.534,43.07,565332000,-1.99%,-1.69%,-1.69%
201212,0.127,44.54,722165800,+2.03%,-1.05%,+2.28%
201301,2.523,47.35,330218200,+2.06%,+20.87%,-1.46%
201302,2.487,49.68,365912800,+2.05%,-1.99%,+2.11%
201303,1.885,51.0,482265300,+2.03%,-1.76%,+2.32%
201304,2.464,49.63,434870300,-1.97%,+2.31%,-1.9%
201305,2.468,55.9,343831300,+2.13%,+2.0%,-1.79%
201306,0.096,55.39,414604000,-1.99%,-1.04%,+2.21%
201307,2.435,56.93,440217000,+2.03%,+26.36%,+2.06%
201308,3.052,56.78,549824600,-2.0%,+2.25%,+2.25%
201309,8.086,53.93,489433900,-1.95%,+3.65%,-1.89%
201310,2.42,54.85,465174328,+2.02%,-1.3%,-1.95%
201311,0.082,58.14,450398100,+2.06%,-1.03%,-1.97%
201312,2.406,58.55,522625800,+2.01%,+30.34%,+2.16%
201401,1.025,59.82,347635705,+2.02%,-1.43%,-1.67%
201402,0.084,58.65,211504985,-1.98%,-1.08%,-1.61%
201403,1.024,61.48,415457461,+2.05%,+13.19%,+2.96%
