Date,avg_interest_rate,stock_price,stock_volume,Percent change of price,Percent change of interest rate,Percent change of Volume
200101,6.096,22.5,82675700,0,0,0
200102,5.755,21.94,95888300,-1.98%,-1.94%,+2.16%
200103,6.508,23.75,134718700,+2.08%,+2.13%,+2.4%
200104,5.076,27.12,98777200,+2.14%,-1.78%,-1.73%
200105,4.56,26.7,91595700,-1.98%,-1.9%,-1.93%
200106,4.216,25.1,154555400,-1.94%,-1.92%,+2.69%
200107,3.994,25.22,136397600,+2.0%,-1.95%,-1.88%
200108,3.711,19.9,133364900,-1.79%,-1.93%,-1.98%
200109,3.482,19.08,199267700,-1.96%,-1.94%,+2.49%
200110,3.184,19.42,192840400,+2.02%,-1.91%,-1.97%
200111,2.669,21.55,125424400,+2.11%,-1.84%,-1.65%
200112,2.397,24.03,244811800,+2.12%,-1.9%,+2.95%
200201,2.145,24.73,80900700,+2.03%,-1.89%,-1.33%
200202,1.932,25.98,80923600,+2.05%,-1.9%,+2.0%
200203,1.876,25.3,118061300,-1.97%,-1.97%,+2.46%
200204,1.861,26.17,94497100,+2.03%,-1.99%,-1.8%
200205,1.852,25.98,91994400,-1.99%,-2.0%,-1.97%
200206,1.843,23.45,144971700,-1.9%,-2.0%,+2.58%
200207,1.832,18.79,155500300,-1.8%,-1.99%,+2.07%
200208,1.789,16.25,106717100,-1.86%,-1.98%,-1.69%
200209,5.997,15.19,114693500,-1.93%,+4.35%,+2.07%
200210,1.696,16.44,94974700,+2.08%,-1.28%,-1.83%
200211,6.15,17.38,139954000,+2.06%,+4.63%,+2.47%
200212,7.936,16.1,152060300,-1.93%,+2.29%,+2.09%
200301,7.936,15.38,97390600,-1.96%,2.0%,-1.64%
200302,1.299,15.3,88823300,-1.99%,-1.16%,-1.91%
200303,1.249,15.16,125717700,-1.99%,-1.96%,+2.42%
200304,1.208,14.95,95490800,-1.99%,-1.97%,-1.76%
200305,6.091,19.0,76920800,+2.27%,+6.04%,-1.81%
200306,1.107,19.69,93183400,+2.04%,-1.18%,+2.21%
200307,1.042,21.57,109166700,+2.1%,-1.94%,+2.17%
200308,1.019,22.85,193063300,+2.06%,-1.98%,+2.77%
200309,1.008,23.32,138845400,+2.02%,-1.99%,-1.72%
200310,0.993,25.011,71935800,+2.07%,-1.99%,-1.52%
200311,0.988,23.3,73469700,-1.93%,-1.99%,+2.02%
200312,0.987,21.9,107961300,-1.94%,-2.0%,+2.47%
200401,3.763,24.84,284796700,+2.13%,+4.81%,+3.64%
200402,0.98,24.1,311421500,-1.97%,-1.26%,+2.09%
200403,0.984,28.14,287399400,+2.17%,+2.0%,-1.92%
200404,0.992,29.58,137026900,+2.05%,+2.01%,-1.48%
200405,1.025,28.78,143060100,-1.97%,+2.03%,+2.04%
200406,1.122,34.19,173153200,+2.19%,+2.09%,+2.21%
200407,1.273,33.63,146914900,-1.98%,+2.13%,-1.85%
200408,1.409,35.18,94719200,+2.05%,+2.11%,-1.64%
200409,1.579,39.27,159467400,+2.12%,+2.12%,+2.68%
200410,1.707,53.2,207609200,+2.35%,+2.08%,+2.3%
200411,1.881,69.57,87893400,+2.31%,+2.1%,-1.42%
200412,2.05,67.95,141567900,-1.98%,+2.09%,+2.61%
200501,2.201,77.89,466577300,+2.15%,+2.07%,+4.3%
200502,2.373,90.88,480586700,+2.17%,+2.08%,+2.03%
200503,2.604,45.11,665837400,-1.5%,+2.1%,+2.39%
200504,2.745,44.45,440991800,-1.99%,+2.05%,-1.66%
200505,2.86,40.94,335743100,-1.92%,+2.04%,-1.76%
200506,2.989,40.76,360508800,-2.0%,+2.05%,+2.07%
200507,3.13,44.38,404542700,+2.09%,+2.05%,+2.12%
200508,3.302,48.33,459224800,+2.09%,+2.05%,+2.14%
200509,3.449,54.56,691982800,+2.13%,+2.04%,+2.51%
200510,3.61,57.98,524140000,+2.06%,+2.05%,-1.76%
200511,3.789,71.07,383016900,+2.23%,+2.05%,-1.73%
200512,3.946,75.46,459075800,+2.06%,+2.04%,+2.2%
200601,4.116,86.4,603242600,+2.14%,+2.04%,+2.31%
200602,4.277,76.46,494103000,-1.88%,+2.04%,-1.82%
200603,4.485,69.99,513855600,-1.92%,+2.05%,+2.04%
200604,4.585,72.05,632912800,+2.03%,+2.02%,+2.23%
200605,4.687,73.8,638844500,+2.02%,+2.02%,+2.01%
200606,4.821,63.1,624276500,-1.86%,+2.03%,-1.98%
200607,4.948,68.63,640593700,+2.09%,+2.03%,+2.03%
200608,5.071,70.0,557456400,+2.02%,+2.02%,-1.87%
200609,5.069,77.78,718545800,+2.11%,-2.0%,+2.29%
200610,5.09,82.6,828308300,+2.06%,+2.0%,+2.15%
200611,5.126,93.159,670024900,+2.13%,+2.01%,-1.81%
200612,5.085,92.33,781370400,-1.99%,-1.99%,+2.17%
200701,4.295,97.8,616167100,+2.06%,-1.84%,-1.79%
200702,5.109,90.81,935706800,-1.93%,+2.19%,+2.52%
200703,5.135,96.83,831349700,+2.07%,+2.01%,-1.89%
200704,5.106,102.5,747543700,+2.06%,-1.99%,-1.9%
200705,5.043,122.17,870028500,+2.19%,-1.99%,+2.16%
200706,4.983,127.61,857806200,+2.04%,-1.99%,-1.99%
200707,4.988,148.92,831412200,+2.17%,+2.0%,-1.97%
200708,4.859,139.65,620181000,-1.94%,-1.97%,-1.75%
200709,4.659,155.0,480705000,+2.11%,-1.96%,-1.78%
200710,4.512,190.12,568523000,+2.23%,-1.97%,+2.18%
200711,4.21,192.68,490084100,+2.01%,-1.93%,-1.86%
200712,3.917,202.96,971777900,+2.05%,-1.93%,+2.98%
200801,3.528,200.26,721923100,-1.99%,-1.9%,-1.74%
200802,3.038,136.59,843552200,-1.68%,-1.86%,+2.17%
200803,2.553,145.74,1479525400,+2.07%,-1.84%,+2.75%
200804,2.262,180.0,859555800,+2.24%,-1.89%,-1.58%
200805,1.994,192.24,467348400,+2.07%,-1.88%,-1.54%
200806,1.94,189.95,705348600,-1.99%,-1.97%,+2.51%
